優悠,2
儲,159
儲物櫃,14
元,398
充,419
充份,35
充沛,3
充足,17
先,5788
先到先得,3
先前,15
先好,52
先得,85
先知,161
先至,313
先頭,3
先頭部隊,1
光,1243
光陰,15
克,151
免,521
免責,2
免費,61
兒,509
兒孫,3
兔,27
兜,189
兜圈,7
兜路,4
入,5091
入便,5
入冬,4
入去,322
入口,96
入嚟,107
入土,8
入室,6
入座,13
入流,7
入門,23
入面,1579
內,1213
內地,68
內容,184
內行,2
全,3689
全日,22
全港,39
全球,78
全程,23
全走,6
全部,586
全體,21
兩,3580
兩岸,10
兩敗俱傷,2
兩粒,19
八,1110
八仙,3
八公,2
八月,46
八號,24
八號風球,6
公,3113
公事,22
公佈,16
公升,6
公園,111
公屋,68
公帑,4
公平,77
公廁,22
公所,3
公眾,71
公立,6
公路,15
公道,25
公里,66
公開,132
公開信,2
六,929
六月,63
共,781
共同,75
共同進退,3
兵,297
兵分兩路,3
其,6729
其中,418
其他,1475
其實,3490
其後,32
其次,20
其餘,50
具,346
具體,30
兼,202
円,1
冇,4093
冇乜,194
冇乜嘢,8
冇乜點,11
冇事,49
冇人,293
冇到,12
冇問題,47
冇嘢,30
冇幾何,1
冇幾耐,24
冇影,3
冇所謂,37
冇效,7
冇時,13
冇機,25
冇理由,22
冇瓦遮頭,1
冇用,74
冇耐,27
冇行,7
冇計,19
冇話,31
冇譜,1
冇走雞,1
冇錢,30
冇錯,62
再,5044
再度,30
再次,145
再版,2
再見,121
冒,86
冒雨,2
冚,78
冠,117
冧,87
冧把,3
冬,101
冬天,31
冬至,14
冰,138
冰封,9
冷,652
准,70
凌,123
凌晨,54
凌空,6
凍,194
凡,182
凡事,28
凡夫俗子,9
凰,37
凸,54
凸出,6
出,9850
出世,105
出事,111
出去,466
出售,7
出嚟,987
出外,6
出席,36
出海,16
出煙,6
出現,770
出發,154
出門,58
出面,167
出馬,19
刀,349
刃,12
分,4224
分佈,24
分別,293
分成,16
分流,20
分組,10
分道揚鑣,8
分野,8
分鐘,660
分開,90
切,923
切勿,8
切碎,2
刊,58
刊物,7
划,8
列,553
列明,3
列為,14
列隊,3
初,903
初時,26
初級,9
判,341
判斷,127
別,1171
別有洞天,2
利,1434
利是,75
利用,124
利誘,9
刪,46
到,19746
到嘔,16
到底,166
到時,337
到此爲止,1
到達,32
到頂,29
制,890
制度,173
刺,190
刺激,53
刻,2273
刻意,93
剃,13
則,756
前,3975
前人,45
前來,5
前傳,3
前功盡廢,2
前夕,15
前後,58
前方,16
前日,2
前瞻,3
前程,6
前身,14
前進,21
前面,214
剎,87
剎那,70
剖,12
剖析,6
剛,173
剝,41
剝奪,16
剩,270
剩低,37
剩係,65
副,303
創,373
劃,317
劈,138
劍,179
劏,48
力,3402
力水,6
力爭,10
力爭上游,1
力量,153
功,901
功德,10
功德無量,6
功課,107
功高蓋主,2
加,2712
加一,58
加上,272
加以,23
加埋,98
加強,51
加插,23
加料,1
加油,37
加速,32
劣,110
助,279
劫,86
勁,340
勇,245
勉,119
勉強,69
勒,53
動,2801
動作,186
動員,25
動武,6
動氣,4
動物,148
勘,2
勘探,1
務,506
務實,8
勝,368
勝任,4
勝在,20
勝地,9
勝算,11
勝負,34
勞,207
勢,630
勢力,63
勢色,7
勢色唔對,6
勤,92
勿,51
包,937
包羅萬有,5
匆,102
匆匆,47
化,1707
化為,25
化為烏有,4
化解,16
化險為夷,3
北,474
北京,57
北帝,8
北方,27
北極,12
北面,13
北韓,12
北風,21
匙,79
匯,189
匯報,97
區,930
區內,20
區域,13
十,3338
十一月,20
十九,40
十二月,20
十分,384
十月,38
十號,9
十號風球,4
千,1061
千祈,123
卅,15
升,665
升降,115
升降機,113
午,192
午餐,30
半,1330
半山,11
半島,122
半數,5
卒,40
卒之,17
南,505
南丫島,3
南北,18
南極,4
博,234
博大霧,1
博物館,42
卜,61
卡,528
印,480
印象,188
危,259
危機,49
危險,126
即,3540
即使,364
即係,1114
即係話,71
即刻,1273
即場,16
即時,129
即興,4
卸,39
卻,226
厚,209
厚望,6
原,2393
原來,1045
原則,112
原因,361
原地,11
原定,14
去,11146
去蒲,9
去馬,17
參,475
參加,117
參差,5
參考,95
參與,106
參觀,34
參賽,9
參賽者,3
參透,8
又,8687
又係,742
又話,193
叉,110
叉燒,23
及,986
及時,49
及膝,4
及至,2
友,3025
友好,31
反,2298
反對,143
反應,297
反抗,67
反正,236
反而,466
反艇,3
反轉,20
反駁,38
叔,601
取,614
取代,50
取名,3
取態,24
取捨,24
取消,39
受,1804
受惠,14
受衆,1
叢,29
叢林,7
口,3227
口氣,212
口水,93
口沫橫飛,8
口痕,5
口罩,136
口角,4
古,759
古堡,2
古老,22
古蹟,6
句,2316
另,1363
另一,855
另外,352
另類,42
只,5715
只不過,258
只係,2519
只好,191
只得,176
只有,421
只能,212
只要,657
叫,3365
叫做,295
叫停,5
可,11848
可以,7102
可取,11
可否,28
可惜,237
可想而知,13
可望,9
可樂,24
可能,2495
可貴,20
台,919
史,918
右,515
各,896
各式,25
各適其適,4
合,1538
合一,32
合乎,37
合作,68
合力,14
合埋,56
合尺,1
合時,14
合法,69
合法化,8
合照,13
合適,24
吉,137
吉日,1
吊,112
